fid,OBJECTID,DAMAGE_AREA_ID,CREATED_DATE,MODIFIED_DATE,FEATURE_USER_ID,OBSERVATION_USER_ID,REGION_ID,LABEL,HOST_CODE,HOST,HOST_GROUP_CODE,HOST_GROUP,DCA_CODE,DCA_COMMON_NAME,DAMAGE_TYPE_CODE,DAMAGE_TYPE,PERCENT_AFFECTED_CODE,PERCENT_AFFECTED,PERCENT_MIN,PERCENT_MAX,PERCENT_MID,NOTES,OBSERVATION_COUNT,COLLECTION_MODE,SNAPGRID_ROW,SNAPGRID_COLUMN,AREA_TYPE,ACRES,STATUS,SURVEY_YEAR,LEGACY_SEVERITY_CODE,LEGACY_SEVERITY,LEGACY_PATTERN_CODE,LEGACY_PATTERN,LEGACY_TPA,LEGACY_NO_TREES,LEGACY_FOREST_TYPE_CODE,LEGACY_FOREST_TYPE,GRP,OBSERVATION_ID,IDS_DATA_SOURCE,DATA_SOURCE_NAME,US_AREA,SHAPE_Length,SHAPE_Area,X_clim_dat97count,X_clim_dat97sum,X_clim_dat97mean,X_clim_dat97min,X_clim_dat97max,X_clim_dat06mean,X_clim_dat07mean,X_clim_dat08mean,X_clim_dat09mean,X_clim_dat10mean,X_clim_dat11mean,X_clim_dat12mean,X_clim_dat13mean,X_clim_dat14mean,X_clim_dat15mean,X_clim_dat98mean,X_clim_dat16mean,X_clim_dat17mean,X_clim_dat18mean,X_clim_dat19mean,X_clim_dat20mean,X_clim_dat21mean,X_clim_dat22mean,X_clim_dat23mean,X_clim_dat34mean,X_clim_dat99mean,X_clim_dat00mean,X_clim_dat01mean,X_clim_dat02mean,X_clim_dat03mean,X_clim_dat04mean,X_clim_dat05mean,
11,621,19972002577,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46162,SINGLE,,,,POLYGON,5.2,1,1997,-1,No Data,-1,No data,3.88,20,9000,MIXED CONIFERS,1,21945,87,IDS LEGACY FEATURES,CONUS,530.2010666,20850.16736,0.001280109,0.577476543,451.1150208,451.1150208,451.1150208,370.11203,386.1400146,339.5970154,483.3420105,468.8200073,498.5670166,312.2324829,570.4860229,536.2230225,559.8370361,409.5540161,401.3560181,541.9420166,388.8980103,451.6250305,352.9159851,414.245575,352.6336975,431.3110046,350.1159058,411.914032,361.7660217,331.4760132,325.4370117,438.0760193,488.1850281,375.553009,
12,752,19982003907,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46143,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,0.52,1,9000,MIXED CONIFERS,1,80747,87,IDS LEGACY FEATURES,CONUS,313.6290774,7798.580873,0.000480394,0.278697745,580.144043,580.144043,580.144043,346.4520264,417.6240234,407.7640076,511.2850342,440.6110229,469.7160339,296.1315918,598.7250366,508.8490295,565.4920044,438.7290344,380.8930054,506.7840271,390.2050171,455.1170349,312.158905,377.3848877,340.7648926,506.4700012,328.2446899,510.1000366,355.0170288,363.9110107,309.6900024,463.5150146,518.401001,401.0250244,
13,867,19972002532,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,46346,SINGLE,,,,POLYGON,18.1,1,1997,-1,No Data,-1,No data,1.1,20,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,21901,87,IDS LEGACY FEATURES,CONUS,979.673922,73268.72434,0.004503473,3.027469126,672.2520142,672.2520142,672.2520142,532.2960205,540.2200317,575.4820557,670.7820435,678.9900513,727.2780151,451.507782,767.644043,792.3980103,714.8590088,575.217041,610.6880493,712.8690186,542.2990112,645.0930176,521.2318726,586.9417114,563.8551025,684.7769775,528.4480591,589.7220459,561.2820435,478.0680237,442.6300354,629.1310425,669.0880127,583.4460449,
14,918,19982005993,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46147,SINGLE,,,,POLYGON,5,1,1998,-1,No Data,-1,No data,1.01,5,9000,MIXED CONIFERS,1,82848,87,IDS LEGACY FEATURES,CONUS,502.4933755,20060.82657,0.001221875,0.776830206,635.769043,635.769043,635.769043,483.5830078,495.7150269,426.7180176,532.8240356,527.7319946,555.1719971,392.276886,767.3010254,531.3780518,701.7850342,579.9750366,425.7450256,594.802002,425.2140198,529.7600098,372.6188965,524.4666138,515.8894653,538.757019,453.6105042,659.1670532,439.8310242,455.6700134,370.138031,535.0500488,651.993042,459.9190369,
15,923,19972002780,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46144,SINGLE,,,,POLYGON,13.2,1,1997,-1,No Data,-1,No data,0.15,2,9000,MIXED CONIFERS,1,22148,87,IDS LEGACY FEATURES,CONUS,867.5819269,53213.20302,0.00324399,1.993405653,614.4920044,614.4920044,614.4920044,459.3640137,491.5600281,415.0490112,508.2870178,511.6470337,543.6480103,373.1826782,726.65802,512.5480347,674.2370605,555.5469971,387.0210266,597.0510254,395.3070068,527.5830078,354.190979,530.2119751,519.7745972,553.9069824,407.6723938,639.25,437.9380188,423.8230286,363.5710144,511.7790222,638.5870361,444.3400269,
16,943,19992005785,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46144,SINGLE,,,,POLYGON,2,1,1999,-1,No Data,-1,No data,1,2,9000,MIXED CONIFERS,1,172276,87,IDS LEGACY FEATURES,CONUS,320.9285867,8155.816204,0.000500339,0.257740878,515.1329956,515.1329956,515.1329956,432.8800354,476.3240356,447.6750183,532.8050537,563.8390503,621.5780029,366.8372803,629.9480591,649.5370483,584.0599976,458.3050232,482.9700317,602.1540527,444.7090149,522.0750122,433.6499939,449.1053772,408.8061829,472.9909973,404.9212036,450.5710144,470.6570129,401.3370056,375.4730225,518.9650269,548.1119995,477.303009,
17,990,19992006495,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46145,SINGLE,,,,POLYGON,1.9,1,1999,-1,No Data,-1,No data,1.58,3,9000,MIXED CONIFERS,1,172998,87,IDS LEGACY FEATURES,CONUS,314.3702808,7849.127427,0.000479303,0.29465829,614.7640381,614.7640381,614.7640381,421.3860168,472.256012,396.763031,526.9830322,485.2770081,512.9450073,334.9115906,696.5870361,509.1610107,701.4380493,518.4949951,349.335022,547.8260498,376.9100037,523.8550415,337.848877,503.0057983,517.9833984,594.6409912,382.301178,630.3300171,432.5600281,412.2640076,349.9900208,512.0110474,628.9640503,459.0870361,
18,1055,19972003009,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,46331,SINGLE,,,,POLYGON,25.6,1,1997,-1,No Data,-1,No data,0.2,5,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,22380,87,IDS LEGACY FEATURES,CONUS,1212.842249,103651.5188,0.006297962,3.948337409,626.9230347,626.9230347,626.9230347,526.2839966,510.2060242,480.7400208,563.5170288,511.78302,562.5200195,474.8099976,794.1830444,574.3960571,707.4950562,606.7580566,502.4260254,616.4460449,391.3740234,565.0430298,397.5559998,499.4076843,555.2937012,568.3480225,473.9351807,676.8870239,485.0670166,503.7310181,376.0950317,566.3380127,685.2580566,483.7510376,
19,1068,19972002928,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,Scattered MPB(total of 15),SINGLE,,,,POLYGON,8.8,1,1997,-1,No Data,-1,No data,0.34,3,9000,MIXED CONIFERS,1,22299,87,IDS LEGACY FEATURES,CONUS,720.4960384,35710.9869,0.002172193,1.490380515,686.118042,686.118042,686.118042,557.0970459,522.8180542,487.1770325,581.9490356,578.9110107,609.6980591,456.3335876,891.8910522,598.2600098,758.3620605,596.6500244,504.460022,642.1710205,476.5810242,603.5880127,433.1048889,556.3748779,576.7849121,584.8389893,515.5145874,695.8430176,487.835022,507.3120117,385.5810242,605.4450073,697.8530273,518.7969971,
20,1090,19972002507,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46152,SINGLE,,,,POLYGON,3.5,1,1997,-1,No Data,-1,No data,2.86,10,9000,MIXED CONIFERS,1,21876,87,IDS LEGACY FEATURES,CONUS,443.6283171,14184.36511,0.000872117,0.45887813,526.1660156,526.1660156,526.1660156,387.730011,414.5360107,391.5980225,539.2800293,511.6090393,547.3040161,342.3368835,640.9430542,575.7010498,595.1620483,456.9560242,461.3360291,560.1360474,419.8060303,517.3430176,425.2189026,430.8432007,396.3526001,528.2999878,374.474884,471.4420166,393.757019,379.9100037,345.9110107,485.6600342,556.8450317,437.5840149,
21,1096,19972002514,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46152,SINGLE,,,,POLYGON,4.3,1,1997,-1,No Data,-1,No data,2.31,10,9000,MIXED CONIFERS,1,21883,87,IDS LEGACY FEATURES,CONUS,509.2511876,17526.82648,0.00107756,0.566975693,526.1660156,526.1660156,526.1660156,387.730011,414.5360107,391.5980225,539.2800293,511.6090393,547.3040161,342.3368835,640.9430542,575.7010498,595.1620483,456.9560242,461.3360291,560.1360474,419.8060303,517.3430176,425.2189026,430.8432007,396.3526001,528.2999878,374.474884,471.4420166,393.757019,379.9100037,345.9110107,485.6600342,556.8450317,437.5840149,
22,1195,19972002465,,,,,2,,746,quaking aspen,,,80001,aspen defoliation,1,Defoliation,,,,,,75(aspen decline),SINGLE,,,,POLYGON,25.5,1,1997,-1,No Data,-1,No data,-1,-1,910,Aspen,1,21835,87,IDS LEGACY FEATURES,CONUS,1416.684132,103220.7288,0.006354123,4.662808522,733.8240356,733.8240356,733.8240356,604.8330078,640.0250244,656.5500488,724.2530518,764.8130493,789.9790649,513.4793701,798.000061,889.9510498,741.0790405,634.3360596,661.5530396,786.1200562,599.0650024,698.1100464,579.9829102,627.0045776,601.7523804,692.9060059,570.0787964,637.75,629.1060181,538.0310059,484.4250183,714.8080444,695.9910278,660.1550293,
23,1219,19972002747,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46144,SINGLE,,,,POLYGON,6.5,1,1997,-1,No Data,-1,No data,0.31,2,9000,MIXED CONIFERS,1,22115,87,IDS LEGACY FEATURES,CONUS,646.2081281,26190.95355,0.000023096,0.016877337,730.7470093,730.7470093,730.7470093,595.4730225,573.2890015,516.7150269,631.2520142,635.28302,675.5440063,494.5757751,852.7320557,683.3100586,739.6160278,659.8640137,537.6329956,766.65802,479.7350159,634.9020386,459.5298767,643.8370972,602.6137085,628.651001,539.7528076,753.2800293,598.0510254,520.7330322,453.0280151,663.6990356,719.1360474,560.9609985,
24,1257,19972002511,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46152,SINGLE,,,,POLYGON,4.2,1,1997,-1,No Data,-1,No data,2.36,10,9000,MIXED CONIFERS,1,21880,87,IDS LEGACY FEATURES,CONUS,494.1959439,17111.17458,0.00105206,0.553558402,526.1660156,526.1660156,526.1660156,387.730011,414.5360107,391.5980225,539.2800293,511.6090393,547.3040161,342.3368835,640.9430542,575.7010498,595.1620483,456.9560242,461.3360291,560.1360474,419.8060303,517.3430176,425.2189026,430.8432007,396.3526001,528.2999878,374.474884,471.4420166,393.757019,379.9100037,345.9110107,485.6600342,556.8450317,437.5840149,
25,1537,19992005670,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-300,SINGLE,,,,POLYGON,613.3,1,1999,-1,No Data,-1,No data,0.49,300,9000,MIXED CONIFERS,1,172161,87,IDS LEGACY FEATURES,CONUS,7181.017464,2482096.405,0.152421745,76.77393142,503.6940853,466.8840332,529.8930054,388.0233232,401.8896098,375.6685771,524.1727737,481.8281574,515.4013348,312.8792647,609.7574245,546.9324665,566.7089686,435.1191579,428.5904218,539.6204913,394.9785015,472.0381285,377.2849103,415.9176874,374.5949822,500.2432225,366.5425806,459.2758611,382.9670865,367.6903807,338.2602261,446.0225338,557.4549401,412.9038906,
26,1595,19972002628,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46147,SINGLE,,,,POLYGON,10,1,1997,-1,No Data,-1,No data,0.5,5,9000,MIXED CONIFERS,1,21996,87,IDS LEGACY FEATURES,CONUS,785.4336327,40563.20444,0.002487704,1.466307796,589.4220581,589.4220581,589.4220581,393.8200073,396.7010193,401.6720276,541.9640503,462.9440308,506.1460266,301.7738953,608.8850098,515.0180054,582.0690308,460.6030273,403.507019,519.8340454,377.4360046,457.2200317,341.7728882,448.4819031,404.0830994,565.973999,380.2909851,549.5620117,363.1740112,385.48703,320.3950195,452.6540222,579.4690552,421.5220337,
27,1654,19992006403,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46152,SINGLE,,,,POLYGON,9.9,1,1999,-1,No Data,-1,No data,1.01,10,9000,MIXED CONIFERS,1,172905,87,IDS LEGACY FEATURES,CONUS,711.1465064,40155.58825,0.002452925,1.507970353,614.7640381,614.7640381,614.7640381,421.3860168,472.256012,396.763031,526.9830322,485.2770081,512.9450073,334.9115906,696.5870361,509.1610107,701.4380493,518.4949951,349.335022,547.8260498,376.9100037,523.8550415,337.848877,503.0057983,517.9833984,594.6409912,382.301178,630.3300171,432.5600281,412.2640076,349.9900208,512.0110474,628.9640503,459.0870361,
28,1673,19972002648,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,18415,SINGLE,,,,POLYGON,109.5,1,1997,-1,No Data,-1,No data,0.46,50,9000,MIXED CONIFERS,1,22016,87,IDS LEGACY FEATURES,CONUS,2860.671213,443069.5122,0.027137385,16.82335787,619.9329063,516.9250488,729.8490601,523.7450465,541.8387413,525.5396194,644.6163506,662.242866,699.0412237,416.0792524,751.0339751,721.8454244,688.709757,529.1091987,578.8085816,750.6012194,526.3988604,648.3338115,486.6806629,650.2358356,597.6502521,687.0897238,576.7777855,577.8097843,526.1203572,447.1518623,403.8636889,570.5524508,682.8847153,535.2899567,
29,1676,19972002637,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,11(total of 25),SINGLE,,,,POLYGON,6.9,1,1997,-1,No Data,-1,No data,0.72,5,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,22005,87,IDS LEGACY FEATURES,CONUS,647.5697175,28071.33991,0.001720371,0.902990095,524.8809384,510.3490295,551.6060181,498.7051533,474.9209746,483.141945,605.5213942,629.4150043,678.5424194,404.4205504,718.6248835,698.8432185,683.5990965,460.2444438,554.520807,735.0107775,517.7076737,616.2189216,484.0332112,633.6502313,604.0377619,673.8763702,574.2026972,490.6425787,477.7303197,420.580078,386.6237357,551.8188062,611.1143107,511.3528401,
30,1913,19982005400,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46145,SINGLE,,,,POLYGON,16.7,1,1998,-1,No Data,-1,No data,0.18,3,9000,MIXED CONIFERS,1,82246,87,IDS LEGACY FEATURES,CONUS,1002.089385,67700.74771,0.004132293,2.544087561,615.6600342,615.6600342,615.6600342,449.4700317,481.0480347,403.9710083,509.8640137,498.4090271,523.9400024,350.5592957,709.9400635,514.2460327,664.8600464,524.7090454,364.6610107,582.1700439,378.1490173,531.6810303,344.1269836,507.0398865,514.6414795,562.0430298,390.4985962,610.5340576,455.4360352,415.2740173,357.8300171,496.1080322,637.6950073,452.7000122,
31,1955,19982004339,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46144,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,1.04,2,9000,MIXED CONIFERS,1,81180,87,IDS LEGACY FEATURES,CONUS,313.6220797,7797.882818,0.000478946,0.288606685,602.5870361,602.5870361,602.5870361,336.9310303,407.888031,368.6140137,500.7540283,407.6430054,490.9490356,287.4907837,503.730011,460.3680115,550.5630493,443.0200195,342.0320129,479.0270081,359.0600281,459.0450134,298.539978,385.8616943,338.2059021,501.0769958,308.4429016,537.7040405,303.7070007,352.9510193,300.7870178,409.0140076,480.6290283,426.8990173,
32,2074,19982005351,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46145,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,1.56,3,9000,MIXED CONIFERS,1,82197,87,IDS LEGACY FEATURES,CONUS,313.4977651,7790.879648,0.000475634,0.292828783,615.6600342,615.6600342,615.6600342,449.4700317,481.0480347,403.9710083,509.8640137,498.4090271,523.9400024,350.5592957,709.9400635,514.2460327,664.8600464,524.7090454,364.6610107,582.1700439,378.1490173,531.6810303,344.1269836,507.0398865,514.6414795,562.0430298,390.4985962,610.5340576,455.4360352,415.2740173,357.8300171,496.1080322,637.6950073,452.7000122,
33,2081,19992008049,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46162,SINGLE,,,,POLYGON,20.1,1,1999,-1,No Data,-1,No data,1,20,9000,MIXED CONIFERS,1,174561,87,IDS LEGACY FEATURES,CONUS,1013.385787,81551.91356,0.004952016,3.346072114,675.6990356,675.6990356,675.6990356,512.0620117,523.9550171,468.8220215,566.8210449,541.7140503,596.7330322,434.3747864,834.1670532,566.5890503,741.8540649,592.4800415,491.6160278,619.0790405,412.6130066,587.0540161,425.1349792,538.3972168,574.0014038,628.1090088,529.7619629,674.9720459,460.6990356,514.125,361.8210144,591.7860107,736.1110229,528.1470337,
34,2100,19992006745,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46143,SINGLE,,,,POLYGON,1.9,1,1999,-1,No Data,-1,No data,0.53,1,9000,MIXED CONIFERS,1,173250,87,IDS LEGACY FEATURES,CONUS,314.3667989,7849.623983,0.000478974,0.300759578,627.9241127,627.5990601,628.0640259,457.748819,496.8852017,409.6149753,516.3583873,499.6606103,546.7014722,366.7970652,717.3622502,526.9659717,697.2315698,556.7704755,372.4344699,596.9307307,396.2753528,558.5685193,350.7823094,533.3723257,531.3776251,570.3801513,403.8142953,641.4393869,455.1148324,426.7625527,369.9530913,509.148392,641.7276907,454.8344446,
35,2107,19972002810,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46143,SINGLE,,,,POLYGON,6.8,1,1997,-1,No Data,-1,No data,0.15,1,9000,MIXED CONIFERS,1,22178,87,IDS LEGACY FEATURES,CONUS,623.4753444,27374.47431,0.001668356,1.06365185,637.5450439,637.5450439,637.5450439,486.1820374,509.86203,427.440033,533.2090454,529.7480469,570.4900513,406.1972046,783.6700439,535.7090454,671.4540405,583.052002,414.9420166,634.44104,404.7650146,519.4680176,371.0289917,554.7216797,532.5009155,555.5020142,461.3629761,676.1590576,465.8930359,451.1870117,384.6220093,568.6880493,656.1030273,458.5440369,
36,2114,19972002549,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,18384,SINGLE,,,,POLYGON,13.5,1,1997,-1,No Data,-1,No data,3.71,50,9000,MIXED CONIFERS,1,21918,87,IDS LEGACY FEATURES,CONUS,900.9127514,54508.65174,0.003349231,1.804180684,538.6849976,538.6849976,538.6849976,405.4830322,425.5030212,410.8100281,555.3390503,529.8359985,578.375,355.6583862,649.9150391,600.3880005,603.2420044,467.2940369,478.8330078,570.493042,432.2350159,514.8450317,420.2718811,441.697876,404.7742004,533.2000122,395.4611816,483.3330078,411.8300171,392.7620239,362.8160095,499.0720215,567.7750244,447.4300232,
